feature_id,Reviewed,Entry.Name,Protein.names,Gene.Names,Organism,Length
Q96QE2,reviewed,MYCT_HUMAN,Proton myo-inositol cotransporter (H(+)-myo-inositol cotransporter) (Hmit) (H(+)-myo-inositol symporter) (Solute carrier family 2 member 13),SLC2A13,Homo sapiens (Human),648
Q6MZW2,reviewed,FSTL4_HUMAN,Follistatin-related protein 4 (Follistatin-like protein 4),FSTL4 KIAA1061,Homo sapiens (Human),842
Q8NHG7,reviewed,SVIP_HUMAN,Small VCP/p97-interacting protein,SVIP,Homo sapiens (Human),77
P08240,reviewed,SRPRA_HUMAN,Signal recognition particle receptor subunit alpha (SR-alpha) (Docking protein alpha) (DP-alpha),SRPRA SRPR,Homo sapiens (Human),638
Q9NR34,reviewed,MA1C1_HUMAN,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IC (EC 3.2.1.113) (HMIC) (Mannosidase alpha class 1C member 1) (Processing alpha-1,2-mannosidase IC) (Alpha-1,2-mannosidase IC)",MAN1C1 MAN1A3 MAN1C,Homo sapiens (Human),630
Q9H479,reviewed,FN3K_HUMAN,Fructosamine-3-kinase (EC 2.7.1.171) (Protein-psicosamine 3-kinase FN3K) (Protein-ribulosamine 3-kinase FN3K) (EC 2.7.1.172),FN3K,Homo sapiens (Human),309
Q86Y82,reviewed,STX12_HUMAN,Syntaxin-12,STX12,Homo sapiens (Human),276
P54652,reviewed,HSP72_HUMAN,Heat shock-related 70 kDa protein 2 (Heat shock 70 kDa protein 2) (Heat shock protein family A member 2),HSPA2,Homo sapiens (Human),639
Q7LG56,reviewed,RIR2B_HUMAN,Ribonucleoside-diphosphate reductase subunit M2 B (EC 1.17.4.1) (TP53-inducible ribonucleotide reductase M2 B) (p53-inducible ribonucleotide reductase small subunit 2-like protein) (p53R2),RRM2B P53R2,Homo sapiens (Human),351
Q6ICL3,reviewed,TNG2_HUMAN,Transport and Golgi organization protein 2 homolog,TANGO2 C22orf25,Homo sapiens (Human),276
P34059,reviewed,GALNS_HUMAN,N-acetylgalactosamine-6-sulfatase (EC 3.1.6.4) (Chondroitinsulfatase) (Chondroitinase) (Galactose-6-sulfate sulfatase) (GalN6S) (N-acetylgalactosamine-6-sulfate sulfatase) (GalNAc6S sulfatase),GALNS,Homo sapiens (Human),522
O60243,reviewed,H6ST1_HUMAN,Heparan-sulfate 6-O-sulfotransferase 1 (HS6ST-1) (EC 2.8.2.-),HS6ST1 HS6ST,Homo sapiens (Human),411
Q92466,reviewed,DDB2_HUMAN,DNA damage-binding protein 2 (DDB p48 subunit) (DDBb) (Damage-specific DNA-binding protein 2) (UV-damaged DNA-binding protein 2) (UV-DDB 2),DDB2,Homo sapiens (Human),427
Q92922,reviewed,SMRC1_HUMAN,SWI/SNF complex subunit SMARCC1 (BRG1-associated factor 155) (BAF155) (SWI/SNF complex 155 kDa subunit) (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily C member 1),SMARCC1 BAF155,Homo sapiens (Human),1105
Q9NX40,reviewed,OCAD1_HUMAN,OCIA domain-containing protein 1 (Ovarian cancer immunoreactive antigen domain containing 1) (Ovarian carcinoma immunoreactive antigen),OCIAD1 ASRIJ OCIA,Homo sapiens (Human),245
Q8N183,reviewed,NDUF2_HUMAN,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 2 (B17.2-like) (B17.2L) (Mimitin) (Myc-induced mitochondrial protein) (MMTN) (NDUFA12-like protein),NDUFAF2 NDUFA12L,Homo sapiens (Human),169
P22352,reviewed,GPX3_HUMAN,Glutathione peroxidase 3 (GPx-3) (GSHPx-3) (EC 1.11.1.9) (Extracellular glutathione peroxidase) (Plasma glutathione peroxidase) (GPx-P) (GSHPx-P),GPX3 GPXP,Homo sapiens (Human),226
Q15526,reviewed,SURF1_HUMAN,Surfeit locus protein 1,SURF1 SURF-1,Homo sapiens (Human),300
Q9C0E8,reviewed,LNP_HUMAN,Endoplasmic reticulum junction formation protein lunapark (ER junction formation factor lunapark),LNPK KIAA1715 LNP,Homo sapiens (Human),428
P28340,reviewed,DPOD1_HUMAN,DNA polymerase delta catalytic subunit (EC 2.7.7.7) (3'-5' exodeoxyribonuclease) (EC 3.1.11.-) (DNA polymerase subunit delta p125),POLD1 POLD,Homo sapiens (Human),1107
P08311,reviewed,CATG_HUMAN,"Cathepsin G (CG) (EC 3.4.21.20) [Cleaved into: Cathepsin G, C-terminal truncated form]",CTSG,Homo sapiens (Human),255
Q6NUQ4,reviewed,TM214_HUMAN,Transmembrane protein 214,TMEM214 PP446,Homo sapiens (Human),689
P07339,reviewed,CATD_HUMAN,Cathepsin D (EC 3.4.23.5) [Cleaved into: Cathepsin D light chain; Cathepsin D heavy chain],CTSD CPSD,Homo sapiens (Human),412
Q96DG6,reviewed,CMBL_HUMAN,Carboxymethylenebutenolidase homolog (EC 3.1.-.-),CMBL,Homo sapiens (Human),245
Q86TP1,reviewed,PRUN1_HUMAN,Exopolyphosphatase PRUNE1 (EC 3.6.1.1) (Drosophila-related expressed sequence 17) (DRES-17) (DRES17) (HTcD37) (Protein prune homolog 1) (hPrune),PRUNE1 PRUNE,Homo sapiens (Human),453
Q13938,reviewed,CAYP1_HUMAN,Calcyphosin (Calcyphosine),CAPS,Homo sapiens (Human),275
O43301,reviewed,HS12A_HUMAN,Heat shock 70 kDa protein 12A (Heat shock protein family A member 12A),HSPA12A KIAA0417,Homo sapiens (Human),675
P01137,reviewed,TGFB1_HUMAN,Transforming growth factor beta-1 proprotein [Cleaved into: Latency-associated peptide (LAP); Transforming growth factor beta-1 (TGF-beta-1)],TGFB1 TGFB,Homo sapiens (Human),390
Q7Z304,reviewed,MAMC2_HUMAN,MAM domain-containing protein 2 (MAM domain-containing proteoglycan) (Mamcan),MAMDC2,Homo sapiens (Human),686
O14576,reviewed,DC1I1_HUMAN,"Cytoplasmic dynein 1 intermediate chain 1 (Cytoplasmic dynein intermediate chain 1) (Dynein intermediate chain 1, cytosolic) (DH IC-1)",DYNC1I1 DNCI1 DNCIC1,Homo sapiens (Human),645
P21579,reviewed,SYT1_HUMAN,Synaptotagmin-1 (Synaptotagmin I) (SytI) (p65),SYT1 SVP65 SYT,Homo sapiens (Human),422
Q10472,reviewed,GALT1_HUMAN,Polypeptide N-acetylgalactosaminyltransferase 1 (EC 2.4.1.41) (Polypeptide GalNAc transferase 1) (GalNAc-T1) (pp-GaNTase 1) (Protein-UDP acetylgalactosaminyltransferase 1) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 1) [Cleaved into: Polypeptide N-acetylgalactosaminyltransferase 1 soluble form],GALNT1,Homo sapiens (Human),559
P46926,reviewed,GNPI1_HUMAN,Glucosamine-6-phosphate deaminase 1 (GlcN6P deaminase 1) (EC 3.5.99.6) (Glucosamine-6-phosphate isomerase 1) (Protein oscillin),GNPDA1 GNPI HLN KIAA0060,Homo sapiens (Human),289
O95897,reviewed,NOE2_HUMAN,Noelin-2 (Olfactomedin-2),OLFM2 NOE2,Homo sapiens (Human),454
P08962,reviewed,CD63_HUMAN,CD63 antigen (Granulophysin) (Lysosomal-associated membrane protein 3) (LAMP-3) (Lysosome integral membrane protein 1) (Limp1) (Melanoma-associated antigen ME491) (OMA81H) (Ocular melanoma-associated antigen) (Tetraspanin-30) (Tspan-30) (CD antigen CD63),CD63 MLA1 TSPAN30,Homo sapiens (Human),238
O60610,reviewed,DIAP1_HUMAN,Protein diaphanous homolog 1 (Diaphanous-related formin-1) (DRF1),DIAPH1 DIAP1,Homo sapiens (Human),1272
P02753,reviewed,RET4_HUMAN,Retinol-binding protein 4 (Plasma retinol-binding protein) (PRBP) (RBP) [Cleaved into: Plasma retinol-binding protein(1-182); Plasma retinol-binding protein(1-181); Plasma retinol-binding protein(1-179); Plasma retinol-binding protein(1-176)],RBP4 PRO2222,Homo sapiens (Human),201
Q8N697,reviewed,S15A4_HUMAN,Solute carrier family 15 member 4 (Peptide transporter 4) (Peptide/histidine transporter 1) (hPHT1),SLC15A4 PHT1 PTR4 FP12591,Homo sapiens (Human),577
P51149,reviewed,RAB7A_HUMAN,Ras-related protein Rab-7a (EC 3.6.5.2),RAB7A RAB7,Homo sapiens (Human),207
Q7Z3B1,reviewed,NEGR1_HUMAN,Neuronal growth regulator 1 (IgLON family member 4),NEGR1 IGLON4 UNQ2433/PRO4993,Homo sapiens (Human),354
Q6IAA8,reviewed,LTOR1_HUMAN,Ragulator complex protein LAMTOR1 (Late endosomal/lysosomal adaptor and MAPK and MTOR activator 1) (Lipid raft adaptor protein p18) (Protein associated with DRMs and endosomes) (p27Kip1-releasing factor from RhoA) (p27RF-Rho),LAMTOR1 C11orf59 PDRO PP7157,Homo sapiens (Human),161
Q5SXM8,reviewed,DNLZ_HUMAN,DNL-type zinc finger protein (Hsp70-escort protein 1) (HEP1) (mtHsp70-escort protein),DNLZ C9orf151,Homo sapiens (Human),178
Q9H3H5,reviewed,GPT_HUMAN,UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase (EC 2.7.8.15) (GlcNAc-1-P transferase) (G1PT) (GPT) (N-acetylglucosamine-1-phosphate transferase),DPAGT1 DPAGT2,Homo sapiens (Human),408
Q9Y676,reviewed,RT18B_HUMAN,"Small ribosomal subunit protein mS40 (28S ribosomal protein S18-2, mitochondrial) (MRP-S18-2) (28S ribosomal protein S18b, mitochondrial) (MRP-S18-b) (Mrps18-b) (S18mt-b) (Small ribosomal subunit protein bS18b)",MRPS18B C6orf14 HSPC183 PTD017,Homo sapiens (Human),258
P61916,reviewed,NPC2_HUMAN,NPC intracellular cholesterol transporter 2 (Epididymal secretory protein E1) (Human epididymis-specific protein 1) (He1) (Niemann-Pick disease type C2 protein),NPC2 HE1,Homo sapiens (Human),151
Q9NQX5,reviewed,NPDC1_HUMAN,Neural proliferation differentiation and control protein 1 (NPDC-1),NPDC1,Homo sapiens (Human),325
O75051,reviewed,PLXA2_HUMAN,Plexin-A2 (Semaphorin receptor OCT),PLXNA2 KIAA0463 OCT PLXN2 UNQ209/PRO235,Homo sapiens (Human),1894
Q9NVA2,reviewed,SEP11_HUMAN,Septin-11,SEPTIN11 SEPT11,Homo sapiens (Human),429
P27144,reviewed,KAD4_HUMAN,"Adenylate kinase 4, mitochondrial (EC 2.7.4.4) (EC 2.7.4.6) (Adenylate kinase 3-like) (GTP:AMP phosphotransferase AK4)",AK4 AK3 AK3L1,Homo sapiens (Human),223
P13473,reviewed,LAMP2_HUMAN,Lysosome-associated membrane glycoprotein 2 (LAMP-2) (Lysosome-associated membrane protein 2) (CD107 antigen-like family member B) (LGP-96) (CD antigen CD107b),LAMP2,Homo sapiens (Human),410
P61619,reviewed,S61A1_HUMAN,Protein transport protein Sec61 subunit alpha isoform 1 (Sec61 alpha-1),SEC61A1 SEC61A,Homo sapiens (Human),476
P38936,reviewed,CDN1A_HUMAN,Cyclin-dependent kinase inhibitor 1 (CDK-interacting protein 1) (Melanoma differentiation-associated protein 6) (MDA-6) (p21),CDKN1A CAP20 CDKN1 CIP1 MDA6 PIC1 SDI1 WAF1,Homo sapiens (Human),164
Q9H3U5,reviewed,MFSD1_HUMAN,Lysosomal dipeptide transporter MFSD1 (Major facilitator superfamily domain-containing protein 1) (Smooth muscle cell-associated protein 4) (SMAP-4),MFSD1 SMAP4 UG0581B09,Homo sapiens (Human),465
P61601,reviewed,NCALD_HUMAN,Neurocalcin-delta,NCALD,Homo sapiens (Human),193
O60784,reviewed,TOM1_HUMAN,Target of Myb1 membrane trafficking protein (Target of Myb protein 1),TOM1,Homo sapiens (Human),492
P07203,reviewed,GPX1_HUMAN,Glutathione peroxidase 1 (GPx-1) (GSHPx-1) (EC 1.11.1.9) (Cellular glutathione peroxidase) (Phospholipid-hydroperoxide glutathione peroxidase GPX1) (EC 1.11.1.12),GPX1,Homo sapiens (Human),203
Q92902,reviewed,HPS1_HUMAN,BLOC-3 complex member HPS1 (Hermansky-Pudlak syndrome 1 protein),HPS1 HPS,Homo sapiens (Human),700
Q5TF21,reviewed,MTCL3_HUMAN,Microtubule cross-linking factor 3,MTCL3 C6orf174 SOGA3,Homo sapiens (Human),947
Q9NR56,reviewed,MBNL1_HUMAN,Muscleblind-like protein 1 (Triplet-expansion RNA-binding protein),MBNL1 EXP KIAA0428 MBNL,Homo sapiens (Human),388
Q8WUY3,reviewed,PRUN2_HUMAN,Protein prune homolog 2 (BNIP2 motif-containing molecule at the C-terminal region 1),PRUNE2 BMCC1 BNIPXL C9orf65 KIAA0367,Homo sapiens (Human),3088
Q8WXD2,reviewed,SCG3_HUMAN,Secretogranin-3 (Secretogranin III) (SgIII),SCG3 UNQ2502/PRO5990,Homo sapiens (Human),468
Q15904,reviewed,VAS1_HUMAN,V-type proton ATPase subunit S1 (V-ATPase subunit S1) (Protein XAP-3) (V-ATPase Ac45 subunit) (V-ATPase S1 accessory protein) (Vacuolar proton pump subunit S1),ATP6AP1 ATP6IP1 ATP6S1 VATPS1 XAP3,Homo sapiens (Human),470
P31937,reviewed,3HIDH_HUMAN,"3-hydroxyisobutyrate dehydrogenase, mitochondrial (HIBADH) (EC 1.1.1.31)",HIBADH,Homo sapiens (Human),336
Q6PCB0,reviewed,VWA1_HUMAN,von Willebrand factor A domain-containing protein 1,VWA1,Homo sapiens (Human),445
Q10471,reviewed,GALT2_HUMAN,Polypeptide N-acetylgalactosaminyltransferase 2 (EC 2.4.1.41) (Polypeptide GalNAc transferase 2) (GalNAc-T2) (pp-GaNTase 2) (Protein-UDP acetylgalactosaminyltransferase 2) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 2) [Cleaved into: Polypeptide N-acetylgalactosaminyltransferase 2 soluble form],GALNT2,Homo sapiens (Human),571
Q8WW43,reviewed,APH1B_HUMAN,Gamma-secretase subunit APH-1B (APH-1b) (Aph-1beta) (Presenilin-stabilization factor-like),APH1B PSFL UNQ688/PRO1328,Homo sapiens (Human),257
Q9NYL4,reviewed,FKB11_HUMAN,Peptidyl-prolyl cis-trans isomerase FKBP11 (PPIase FKBP11) (EC 5.2.1.8) (19 kDa FK506-binding protein) (19 kDa FKBP) (FKBP-19) (FK506-binding protein 11) (FKBP-11) (Rotamase),FKBP11 FKBP19 UNQ336/PRO535,Homo sapiens (Human),201
Q53T59,reviewed,H1BP3_HUMAN,HCLS1-binding protein 3 (HS1-binding protein 3) (HSP1BP-3),HS1BP3,Homo sapiens (Human),392
Q92932,reviewed,PTPR2_HUMAN,Receptor-type tyrosine-protein phosphatase N2 (R-PTP-N2) (EC 3.1.3.-) (EC 3.1.3.48) (Islet cell autoantigen-related protein) (IAR) (ICAAR) (Phogrin) [Cleaved into: IA-2beta60],PTPRN2 KIAA0387,Homo sapiens (Human),1015
Q96MC5,reviewed,MERB1_HUMAN,bMERB domain-containing protein 1,BMERB1 C16orf45,Homo sapiens (Human),204
P55212,reviewed,CASP6_HUMAN,Caspase-6 (CASP-6) (CSP-6) (EC 3.4.22.59) (Apoptotic protease Mch-2) [Cleaved into: Caspase-6 subunit p18 (Caspase-6 subunit p20); Caspase-6 subunit p11 (Caspase-6 subunit p10)],CASP6 MCH2,Homo sapiens (Human),293
O75787,reviewed,RENR_HUMAN,Renin receptor (ATPase H(+)-transporting lysosomal accessory protein 2) (ATPase H(+)-transporting lysosomal-interacting protein 2) (ER-localized type I transmembrane adapter) (Embryonic liver differentiation factor 10) (N14F) (Renin/prorenin receptor) (Vacuolar ATP synthase membrane sector-associated protein M8-9) (ATP6M8-9) (V-ATPase M8.9 subunit) [Cleaved into: Renin receptor N-terminal fragment; Renin receptor C-terminal fragment],ATP6AP2 ATP6IP2 CAPER ELDF10 HT028 MSTP009 PSEC0072,Homo sapiens (Human),350
Q06278,reviewed,AOXA_HUMAN,Aldehyde oxidase (EC 1.2.3.1) (Aldehyde oxidase 1) (Azaheterocycle hydroxylase) (EC 1.17.3.-),AOX1 AO,Homo sapiens (Human),1338
O75190,reviewed,DNJB6_HUMAN,DnaJ homolog subfamily B member 6 (HHDJ1) (Heat shock protein J2) (HSJ-2) (MRJ) (MSJ-1),DNAJB6 HSJ2 MRJ MSJ1,Homo sapiens (Human),326
Q8IV38,reviewed,ANKY2_HUMAN,Ankyrin repeat and MYND domain-containing protein 2,ANKMY2,Homo sapiens (Human),441
P10253,reviewed,LYAG_HUMAN,Lysosomal alpha-glucosidase (EC 3.2.1.20) (Acid maltase) (Aglucosidase alfa) [Cleaved into: 76 kDa lysosomal alpha-glucosidase; 70 kDa lysosomal alpha-glucosidase],GAA,Homo sapiens (Human),952
O95486,reviewed,SC24A_HUMAN,Protein transport protein Sec24A (SEC24-related protein A),SEC24A,Homo sapiens (Human),1093
Q00534,reviewed,CDK6_HUMAN,Cyclin-dependent kinase 6 (EC 2.7.11.22) (Cell division protein kinase 6) (Serine/threonine-protein kinase PLSTIRE),CDK6 CDKN6,Homo sapiens (Human),326
P10636,reviewed,TAU_HUMAN,Microtubule-associated protein tau (Neurofibrillary tangle protein) (Paired helical filament-tau) (PHF-tau),MAPT MAPTL MTBT1 TAU,Homo sapiens (Human),758
Q8WUP2,reviewed,FBLI1_HUMAN,Filamin-binding LIM protein 1 (FBLP-1) (Migfilin) (Mitogen-inducible 2-interacting protein) (MIG2-interacting protein),FBLIM1 FBLP1,Homo sapiens (Human),373
Q15120,reviewed,PDK3_HUMAN,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial (EC 2.7.11.2) (Pyruvate dehydrogenase kinase isoform 3)",PDK3 PDHK3,Homo sapiens (Human),406
Q9HBH5,reviewed,RDH14_HUMAN,Retinol dehydrogenase 14 (EC 1.1.1.300) (Alcohol dehydrogenase PAN2) (Short chain dehydrogenase/reductase family 7C member 4),RDH14 PAN2 SDR7C4 UNQ529/PRO1072,Homo sapiens (Human),336
Q96PY6,reviewed,NEK1_HUMAN,Serine/threonine-protein kinase Nek1 (EC 2.7.11.1) (Never in mitosis A-related kinase 1) (NimA-related protein kinase 1) (Renal carcinoma antigen NY-REN-55),NEK1 KIAA1901,Homo sapiens (Human),1258
O95757,reviewed,HS74L_HUMAN,Heat shock 70 kDa protein 4L (Heat shock 70-related protein APG-1) (Heat shock protein family H member 3) (Heat-shock protein family A member 4-like protein) (HSPA4-like protein) (Osmotic stress protein 94),HSPA4L APG1 HSPH3 OSP94,Homo sapiens (Human),839
Q9UJJ9,reviewed,GNPTG_HUMAN,N-acetylglucosamine-1-phosphotransferase subunit gamma (GlcNAc-1-phosphotransferase subunit gamma) (UDP-N-acetylglucosamine-1-phosphotransferase subunit gamma),GNPTG C16orf27 GNPTAG CAB56184 LP2537,Homo sapiens (Human),305
Q9UBS3,reviewed,DNJB9_HUMAN,DnaJ homolog subfamily B member 9 (Endoplasmic reticulum DNA J domain-containing protein 4) (ER-resident protein ERdj4) (ERdj4) (Microvascular endothelial differentiation gene 1 protein) (Mdg-1),DNAJB9 MDG1 UNQ743/PRO1471,Homo sapiens (Human),223
Q86TI0,reviewed,TBCD1_HUMAN,TBC1 domain family member 1,TBC1D1 KIAA1108,Homo sapiens (Human),1168
Q9H9P8,reviewed,L2HDH_HUMAN,"L-2-hydroxyglutarate dehydrogenase, mitochondrial (EC 1.1.99.2) (Duranin)",L2HGDH C14orf160,Homo sapiens (Human),463
Q8TCA0,reviewed,LRC20_HUMAN,Leucine-rich repeat-containing protein 20,LRRC20 UNQ2429/PRO4989,Homo sapiens (Human),184
Q12849,reviewed,GRSF1_HUMAN,G-rich sequence factor 1 (GRSF-1),GRSF1,Homo sapiens (Human),480
P07858,reviewed,CATB_HUMAN,Cathepsin B (EC 3.4.22.1) (APP secretase) (APPS) (Cathepsin B1) [Cleaved into: Cathepsin B light chain; Cathepsin B heavy chain],CTSB CPSB,Homo sapiens (Human),339
O95639,reviewed,CPSF4_HUMAN,Cleavage and polyadenylation specificity factor subunit 4 (Cleavage and polyadenylation specificity factor 30 kDa subunit) (CPSF 30 kDa subunit) (NS1 effector domain-binding protein 1) (Neb-1) (No arches homolog),CPSF4 CPSF30 NAR NEB1,Homo sapiens (Human),269
Q5QJ74,reviewed,TBCEL_HUMAN,Tubulin-specific chaperone cofactor E-like protein (EL) (Leucine-rich repeat-containing protein 35),TBCEL LRRC35,Homo sapiens (Human),424
O95749,reviewed,GGPPS_HUMAN,"Geranylgeranyl pyrophosphate synthase (GGPP synthase) (GGPPSase) (EC 2.5.1.-) ((2E,6E)-farnesyl diphosphate synthase) (Dimethylallyltranstransferase) (EC 2.5.1.1) (Farnesyl diphosphate synthase) (Farnesyltranstransferase) (EC 2.5.1.29) (Geranylgeranyl diphosphate synthase) (Geranyltranstransferase) (EC 2.5.1.10)",GGPS1,Homo sapiens (Human),300
O94811,reviewed,TPPP_HUMAN,Tubulin polymerization-promoting protein (TPPP) (EC 3.6.5.-) (25 kDa brain-specific protein) (TPPP/p25) (p24) (p25-alpha),TPPP TPPP1,Homo sapiens (Human),219
Q7KZF4,reviewed,SND1_HUMAN,Staphylococcal nuclease domain-containing protein 1 (EC 3.1.31.1) (100 kDa coactivator) (EBNA2 coactivator p100) (Tudor domain-containing protein 11) (p100 co-activator),SND1 TDRD11,Homo sapiens (Human),910
P20339,reviewed,RAB5A_HUMAN,Ras-related protein Rab-5A (EC 3.6.5.2),RAB5A RAB5,Homo sapiens (Human),215
